2D Materials	2D Mater.
Conservation Letters	Conserv. Lett.
Conservation Physiology	Conserv. Physiol.
Conservation Science and Practice	Conserv. Sci. Pract.
Construction and Building Materials	Constr. Build. Mater.
Construction Management and Economics	Construct. Manage. Econ.
Construction Research and Innovation	Construct. Res. Innovation
Contemporary Drug Problems	Contemp. Drug Probl.
Contemporary Organic synthesis	Contemp. Org. Synth.
Contemporary Physics	Contemp. Phys.
Continental Shelf Research	Cont. Shelf Res.
Continuum Mechanics and Thermodynamics	Continuum Mech. Thermodyn.
Contrast Media & Molecular Imaging	Contrast Media Mol. Imaging
Contributions of the Astronomical Observatory Skalnate Pleso	Contrib. Astron. Obs. Skalnate Pleso
Contributions to Entomology	Contrib. Entomol.
Contributions to Mineralogy and Petrology	Contrib. Mineral. Petrol.
Contributions to Plasma Physics	Contrib. Plasma Phys.
Contributions to Zoology	Contrib. Zool.
Control & Automation	Control Autom.
Control and Dynamic Systems	Control Dyn. Syst.
Control Engineering Practice	Control Eng. Pract.
Convergent Science Physical Oncology	Convergent Sci. Phys. Oncol.
Coordination Chemistry Reviews	Coord. Chem. Rev.
Corrosion & Materials	Corros. Mater.
Corrosion Communications	Corros. Commun.
Corrosion Engineering Science and Technology	Corros. Eng. Sci. Technol.
Corrosion Reviews	Corros. Rev.
Corrosion Science	Corros. Sci.
Cosmic Research	Cosmic Res.
COSPAR Colloquia Series	COSPAR Colloq. Ser.
COSPAR Information Bulletin	COSPAR Inf. Bull.
CPP Chemical Plants and Processing	CPP Chem. Plants and Process.
CPSS Transactions on Power Electronics and Applications	CPSS Trans. Power Electron. Appl.
CPT: Pharmacometrics & Systems Pharmacology	CPT: Pharmacometrics Syst. Pharmacol.
Cretaceous Research	Cretaceous Res.
CRISPR Journal	CRISPR J.
Critical Reviews in Analytical Chemistry	Crit. Rev. Anal. Chem.
Critical Reviews in Biochemistry and Molecular Biology	Crit. Rev. Biochem. Mol. Biol.
Critical Reviews in Biomedical Engineering	Crit. Rev. Biomed. Eng.
Critical Reviews in Biotechnology	Crit. Rev. Biotechnol.
Critical Reviews in Bone and Mineral Metabolism	Crit. Rev. Bone Miner. Metab.
Critical Reviews in Clinical Laboratory Sciences	Crit. Rev. Clin. Lab. Sci.
Critical Reviews in Computed Tomography	Crit. Rev. Comput. Tomogr.
Critical Reviews in Environment Science and Technology	Crit. Rev. Env. Sci. Technol.
Critical Reviews in Eukaryotic Gene Expression	Crit. Rev. Eukaryotic Gene Express
Critical Reviews in Food Science and Nutrition	Crit. Rev. Food Sci. Nutr.
Critical Reviews in Immunology	Crit. Rev. Immunol.
Critical Reviews in Microbiology	Crit. Rev. Microbiol.
Critical Reviews in Neurobiology	Crit. Rev. Neurobiol.
Critical Reviews in Plant Sciences	Crit. Rev. Plant Sci.
Critical Reviews in Solid State and Materials Sciences	Crit. Rev. Solid State Mater. Sci.
Critical Reviews in Therapeutic Drug Carrier Systems	Crit. Rev. Ther. Drug Carrier Syst.
Critical Reviews in Toxicology	Crit. Rev. Toxicol.
Croatica Chemica Acta	Croat. Chem. Acta
Crop and Environment	Crop Environ.
Crop and Pasture Science	Crop Pasture Sci.
Crop Breeding and Applied Biotechnology	Crop Breed. Appl. Biotechnol.
Crop Design	Crop Des.
Crop Journal	Crop J.
Crop Protection	Crop Prot.
Crop Science	Crop Sci.
"Crop, Forage & Turfgrass Management"	Crop Forage Turfgrass Manage.
Crops & Soils	Crops Soils
Cryosphere Discussions	Cryosphere Discuss.
"Cryptogamie, Algologie"	Cryptogam. Algol.
"Cryptogamie, Bryologie"	Cryptogam. Bryol.
"Cryptogamie, Mycologie"	Cryptogam. Mycol.
Cryptography and Communications	Cryptogr. Commun.
Crystal Engineering	Cryst. Eng.
Crystal Growth and Design	Cryst. Growth Des.
Crystal Research and Technology	Cryst. Res. Technol.
Crystallography Reports	Crystallogr. Rep.
Crystallography Reviews	Crystallogr. Rev.
CSEE Journal of Power and Energy Systems	CSEE J. Power Energy Syst
"Culture, Agriculture, Food and Environment"	Cult. Agric. Food Environ.
"Culture, Agriculture, Food and Environment"	Cult. Agric. Food Environ.
Current Analytical Chemistry	Curr. Anal. Chem.
Current Applied Physics	Curr. Appl Phys.
Current Bioactive Compounds	Curr. Bioact. Compd.
Current Bioinformatics	Curr. Bioinf.
Current Biology	Curr. Biol.
Current Cancer Drug Targets	Curr. Cancer Drug Targets
Current climate change reports	Curr. Clim. Change Rep.
Current Computer-Aided Drug Design	Curr. Comput.-Aided Drug Des.
Current Developments in Nutrition	Curr. Dev. Nutr.
Current Drug Abuse Reviews	Curr. Drug Abuse Rev.
Current Drug Metabolism	Curr. Drug Metab.
Current Food Science and Technology Reports	Curr. Food Sci. Technol. Rep.
Current Forestry Reports	Curr. For. Rep.
Current Green Chemistry	Curr. Green Chem.
Current Herpetology	Curr. Herpetol.
Current Materials Science	Curr. Mater. Sci.
Current Medical Imaging	Curr. Med. Imaging
Current Medical Research and Opinion	Curr. Med. Res. Opin.
Current Medical Science	Curr. Med. Sci.
Current Medicinal Chemistry	Curr. Med. Chem.
Current Microbiology	Curr. Microbiol.
Current Microscopy Reports	Curr. Microsc. Rep.
Current Molecular Pharmacology	Curr. Mol. Pharmacol.
Current Nanoscience	Curr. Nanosci.
Current Nanotoxicity and Prevention	Curr. Nanotoxic. Prev.
Current Neuropharmacology	Curr. Neuropharmacol.
Current Opinion in Biomedical Engineering	Curr. Opin. Biomed. Eng.
Current Opinion in Biotechnology	Curr. Opin. Biotechnol.
Current Opinion in Cell Biology	Curr. Opin. Cell Biol.
Current Opinion in Chemical Biology	Curr. Opin. Chem. Biol.
Current Opinion in Chemical Engineering	Curr. Opin. Chem. Eng.
Current Opinion in Colloid and Interface Science	Curr. Opin. Colloid Interface Sci.
Current Opinion in Drug Discovery & Development	Curr. Opin. Drug Discovery Dev.
Current Opinion in Electrochemistry	Curr. Opin. Electrochem.
Current Opinion in Endocrine and Metabolic Research	Curr. Opin. Endocr. Metab. Res.
Current Opinion in Environment Sustainability	Curr. Opin. Environ. Sustainability
Current Opinion in Environmental Science & Health	Curr. Opin. Environ. Sci. Health
Current Opinion in Food Science	Curr. Opin. Food Sci.
Current Opinion in Genetics & Development	Curr. Opin. Genet. Dev.
Current Opinion in Green and Sustainable Chemistry	Curr. Opin. Green Sustainable Chem.
Current Opinion in Immunology	Curr. Opin. Immunol.
Current Opinion in Insect Science	Curr. Opin. Insect Sci.
Current Opinion in Investigational Drugs	Curr. Opin. Invest. Drugs
Current Opinion in Microbiology	Curr. Opin. Microbiol.
Current Opinion in Molecular Therapeutics	Curr. Opin. Mol. Ther.
Current Opinion in Neurobiology	Curr. Opin. Neurobiol.
Current Opinion in Pediatrics	Curr. Opin. Pediatr.
Current Opinion in Pharmacology	Curr. Opin. Pharmacol.
Current Opinion in Physiology	Curr. Opin. Physiol.
Current Opinion in Plant Biology	Curr. Opin. Plant Biol.
Current Opinion in Solid State and Materials Science	Curr. Opin. Solid State Mater. Sci.
Current Opinion in Structural Biology	Curr. Opin. Struct. Biol.
Current Opinion in Systems Biology	Curr. Opin. Syst. Biol.
Current Opinion in Toxicology	Curr. Opin Toxicol.
Current Opinion in Virology	Curr. Opin. Virol.
Current Organic Chemistry	Curr. Org. Chem.
Current Organic Synthesis	Curr. Org. Synth.
Current Pharmaceutical Analysis	Current Pharm. Anal.
Current Pharmaceutical Biotechnology	Current Pharm. Biotechnol.
Current Pharmaceutical Design	Curr. Pharm. Des.
Current Pharmacogenomics and Personalized Medicine	Curr. Pharmacogenomics Pers. Med.
Current Plant Biology	Curr. Plant Biol.
Current Plant Science in Biotechnology and Agriculture	Curr. Plant Sci. Biotechnol. Agric.
Current Probiotics	Curr. Probiotics
Current Protein & Peptide Science	Curr. Protein Pept. Sci.
Current Radiopharmaceuticals	Curr. Radiopharm.
Current Research in Biotechnology	Curr. Res. Biotechnol.
Current Research in Cell Biology	Curr. Res. Cell Biol.
Current Research in Chemical Biology	Curr. Res. Chem. Biol.
Current Research in Ecological and Social Psychology	Curr. Res. Ecol. Social Psychol.
Current Research in Environmental Sustainability	Curr. Res. Environ. Sustainability
Current Research in Food Science	Curr. Res. Food Sci.
Current Research in Green and Sustainable Chemistry	Curr. Res. Green Sustainable Chem.
Current Research in Immunology	Curr. Res. Immunol.
Current Research in Insect Science	Curr. Res. Insect Sci.
Current Research in Microbial Sciences	Curr. Res. Microb. Sci.
Current Research in Neurobiology	Curr. Res. Neurobiol.
Current Research in Pharmacology and Drug Discovery	Curr. Res. Pharmacol. Drug Discovery
Current Research in Physiology	Curr. Res. Physiol.
Current Research in Structural Biology	Curr. Res. Struct. Biol.
Current Research in Toxicology	Curr. Res. Toxicol.
Current Research in Virological Science	Curr. Res. Virol. Sci.
Current Robotics Reports	Curr. Rob. Rep.
Current Separations and Drug Development	Curr. Sep Drug Dev.
Current Tissue Microenvironment Reports	Curr. Tissue Microenviron.Rep.
Current Topics in Medicinal Chemistry	Curr. Top. Med. Chem.
Current Topics in Membranes	Curr. Top. Membr.
Current Vascular Pharmacology	Curr. Vasc. Pharmacol.
Current Zoology	Curr. Zool.
Curtis's Botanical Magazine	Curtis's Bot. Mag.
Curved And Layered Structures	Curved Layered Struct.
Cybernetics and Systems	Cybern. Syst.
Cybernetics and Systems Analysis	Cybern. Syst. Anal.
Cyber-Physical Systems	Cyber-Phys. Syst.
"Cyberpsychology, Behavior, and Social Networking"	Cyberpsychol. Behav. Social Networking
Cyborg and Bionic Systems	Cyborg Bionic Syst.
CyTA Journal of Food	CyTA J. Food
Cytokine & Growth Factor Reviews	Cytokine Growth Factor Rev.
"Cytometry, Part A"	"Cytometry, Part A"
"Cytometry, Part B: Clinical Cytometry"	"Cytometry, Part B"
Czech Journal of Animal Science	Czech J. Anim. Sci.
Czech Journal of Food Science	Czech J. Food Sci.
Czech Journal of Genetics and Plant Breeding	Czech J. Genet. Plant Breed.
Czechoslovak Journal of Food Sciences	Czech. J. Food Sci.
Czechoslovak Journal of Physics	Czech. J. Phys.
Dairy Science & Technology	Dairy Sci. Technol.
Dalton Transactions	Dalton Trans.
Danish Journal of Archaeology	Dan. J. Archaeol.
Danski Kemi	Dan. Kemi
Data & Policy	Data Policy
Data and Information Management	Data Inf. Manage.
Data and Knowledge Engineering	Data Knowl. Eng.
Data in Brief	Data Brief
Data Intelligence	Data Intell.
Data Science	Data Sci.
Data Science and Engineering	Data Sci. Eng.
Data Science and Management	Data Sci. Manage.
Data Science Journal	Data Sci. J.
Data Technologies and Applications	Data Technol. Appl.
Data-Centric Engineering	Data-Centric Eng.
Decision Support Systems	Decis. Support Syst.
Deep Sea Research Part A: Oceanographic Research Papers	Deep Sea Res. Part A
Deep Sea Research Part B: Oceanographic Literature Review	Deep Sea Res. Part B
Deep Sea Research Part I: Oceanographic Research Papers	Deep Sea Res. Part I
Deep Sea Research Part II: Topical Studies in Oceanography	Deep Sea Res. Part II
Dental Materials	Dent. Mater.
Dental Materials Journal	Dent. Mater. J.
Dentistry Review	Dent. Rev.
Depositional Record	Depositional Rec.
Desalination and Water Treatment	Desalin. Water Treat.
Design Issues	Des. Issues
Design Science	Des. Sci.
Design Studies	Des. Stud.
Designed Monomers and Polymers	Des. Monomers Polym.
Designs Codes and Cryptography	Des. Codes Cryptogr.
Deutsche Entomologische Zeitschrift	Dtsch. Entomol. Z.
Deutsche Gesundheitswesen	Dtsch. Gesundheitswes.
Deutsche Zeitschrift fur die Gesamte Gerichtliche Medizin	Dtsch. Z. Gesamte Gerichtl. Med.
Deutsche Zeitschrift fur Sportmedizin	Dtsch. Z. Sportmed.
Developing World Bioethics	Dev. World Bioethics
Development Engineering	Dev. Eng.
Development Engineering	Dev. Eng.
Development Genes and Evolution	Dev. Genes Evol.
"Development, Growth & Differentiation"	Dev. Growth Differ.
Developmental & Comparative Immunology	Dev. Comp. Immunol.
Developmental Biology	Dev. Biol.
Developmental Cell	Dev. Cell
Developmental Cognitive Neuroscience	Dev. Cognit. Neurosci.
Developmental Dynamics	Dev. Dyn.
Developmental Genetics	Dev. Genet.
Developmental Neurobiology	Dev. Neurobiol.
Developmental Neuroscience	Dev. Neurosci.
Developmental Psychobiology	Dev. Psychobiol.
Developmental Science	Dev. Sci.
Developments in the Built Environment	Dev. Built Environ.
DFI Journal	DFI J.
Diabetes Technology & Therapeutics	Diabetes Technol. Ther.
Diagnostic and Interventional Imaging	Diagn. Interventional Imaging
Diagnostic Cytopathology	Diagn. Cytopathol.
Diagnostic Pathology	Diagn. Pathol.
Diamond and Related Materials	Diamond Relat. Mater.
Diamond Films and Technology	Diamond Films Technol.
Diatom Research	Diatom Res.
Differential and Integral Equations	Differ. Integr. Equations
Differential Equations	Differ. Equations
Differential Equations and Dynamical Systems	Differ. Equations Dyn. Syst.
Differential Geometry and its Applications	Differ. Geom. Appl.
Digest Journal of Nanomaterials and Biostructures	Dig. J. Nanomater. Biostruct.
Digital Applications in Archaeology and Cultural Heritage	Digital Appl. Archaeol. Cult. Heritage
Digital Biomarkers	Digital Biomarkers
Digital Chemical Engineering	Digital Chem. Eng.
Digital Communications and Networks	Digital Commun. Networks
Digital Geography and Society	Digital Geogr. Soc.
Digital Government: Research and Practice	Digital Gov.: Res. Pract.
DIGITAL HEALTH	DIGITAL HEALTH
Digital Investigation	Digital Invest.
Digital Signal Processing	Digital Signal Process.
Digital Threats: Research and Practice	Digital Threats: Res. Pract.
Digital War	Digital War
Disaster Health	Disaster Health
Discover Chemical Engineering	Discover Chem. Eng.
Discover Energy	Discover Energy
Discover Internet of Things	Discover Internet Things
Discover Materials	Discover Mater.
Discover Mechanical Engineering	Discover Mech. Eng.
Discover Sustainability	Discover Sustainability
Discover Water	Discover Water
Discrete and Continuous Dynamical Systems	Discrete Contin. Dyn. Syst.
Discrete Applied Mathematics	Discrete Appl. Math.
Discrete Dynamics in Nature and Society	Discrete Dyn. Nat. Soc.
Discrete Event Dynamic Systems Theory and Applications	Discrete Event Dyn. Syst. Theory Appl.
Discrete Mathematics	Discrete Math.
Discrete Mathematics and Applications	Discrete Math. Appl.
Discrete Mathematics and Theoretical Computer Science	Discrete Math. Theor. Comput. Sci.
Discrete Optimization	Discrete Optim.
Disease Markers	Dis. Markers
Diseases of Aquatic Organisms	Dis. Aquat. Org.
Distributed Generation & Alternative Energy Journal	Distrib. Gener. Altern. Energy J.
Distributed Systems Engineering	Distrib. Sys. Eng.
Diversity and Distributions	Divers. Distrib.
DNA and Cell Biology	DNA Cell Biol.
DNA Repair	DNA Repair
DNA Research	DNA Res.
Doklady Akademii Nauk	Dokl. Akad. Nauk
Doklady Biochemistry and Biophysics	Dokl. Biochem. Biophys.
Doklady Biophysics	Dokl. Biophys.
Doklady Chemical Technology	Dokl. Chem. Technol.
Doklady Chemistry	Dokl. Chem.
Doklady Earth Sciences	Dokl. Earth Sci.
Doklady Mathematics	Dokl. Math.
Doklady Physical Chemistry	Dokl. Phys. Chem.
Doklady Physics	Dokl. Phys.
Domestic Animal Endocrinology	Domest. Anim. Endocrinol.
Drinking Water Engineering and Science	Drinking Water Eng. Sci.
Drinking Water Engineering and Science Discussions	Drinking Water Eng. Sci. Discuss.
Drone Systems and Applications	Drone Syst. Appl.
Drug and Alcohol Dependence	Drug Alcohol Depend.
Drug and Alcohol Dependence Reports	Drug Alcohol Depend. Rep.
Drug and Alcohol Review	Drug Alcohol Rev.
Drug and Chemical Toxicology	Drug Chem. Toxicol.
Drug Delivery	Drug Delivery
Drug Delivery and Translation Research	Drug Delivery Transl. Res.
Drug Design and Discovery	Drug Des. Discovery
Drug Design Development and Therapy	Drug Des. Dev. Ther.
Drug Development and Industrial Pharmacy	Drug Dev. Ind. Pharm.
Drug Development Research	Drug Dev. Res.
Drug Discovery and Development	Drug Discovery Dev.
Drug Discovery Today	Drug Discovery Today
Drug Discovery Today: Technologies	Drug Discovery Today: Technol.
Drug Metabolism and Disposition	Drug Metab. Dispos.
Drug Metabolism and Drug Interactions	Drug Metab. Drug Interact.
Drug Metabolism and Pharmacokinetics	Drug Metab. Pharmacokinet.
Drug Metabolism Letters	Drug Metab. Lett.
Drug Metabolism Reviews	Drug Metab. Rev.
"Drug Repurposing, Rescue, and Repositioning"	Drug Repurposing Rescue Repositioning
Drug Testing and Analysis	Drug Test. Anal.
Drying Technology	Drying Technol.
Duke Mathematical Journal	Duke Math. J.
Dyes and Pigments	Dyes Pigm.
Dynamic Games and Applications	Dyn. Games Appl.
Dynamic Systems and Applications	Dyn. Syst. Appl.
Dynamical Systems An International Journal	Dyn. Syst. Int. J.
Dynamics and Control	Dyn. Control
Dynamics and Statistics of the Climate System	Dyn. Stat. Clim. Syst.
Dynamics of Atmospheres and Oceans	Dyn. Atmos. Oceans
Dynamics of Partial Differential Equations	Dyn. Partial Differ. Equations
E&G Quaternary Science Journal	E&G Quat. Sci. J.
Earth and Environmental Science Transactions	Earth Environ. Sci. Trans.
Earth and Environmental Science Transactions of the Royal Society of Edinburgh	Earth Environ. Sci. Trans. R. Soc. Edinburgh
Earth and Planetary Physics	Earth Planet. Phys.
Earth and Planetary Science Letters	Earth Planet. Sci. Lett.
Earth and Space Science	Earth Space Sci.
Earth Interactions	Earth Interact
Earth Moon and Planets	Earth Moon Planets
Earth Science Frontiers	Earth Sci. Front.
Earth Science Informatics	Earth Sci. Inf.
"Earth Science, Systems and Society"	Earth Sci. Syst. Soc.
Earth Sciences Research Journal	Earth Sci. Res. J.
Earth Surface Dynamics	Earth Surf. Dyn.
Earth Surface Dynamics Discussions	Earth Surf. Dyn. Discuss.
Earth Surface Processes and Landforms	Earth Surf. Processes Landforms
Earth System Dynamics	Earth Syst. Dyn.
Earth System Dynamics Discussions	Earth Syst. Dyn. Discuss.
Earth System Governance	Earth Syst. Governance
Earth System Science Data	Earth Syst. Sci. Data
Earth System Science Data Discussions	Earth Syst. Sci. Data Discuss.
Earth Systems and Environment	Earth Syst. Environ.
"Earth, Planets and Space"	Earth Planets Space
Earthquake Engineering and Engineering Vibration	Earthquake Eng. Eng. Vibr.
Earthquake Engineering and Structural Dynamics	Earthquake Eng. Struct. Dyn.
Earthquake Research Advances	Earthquake Res. Adv.
Earthquake Spectra	Earthquake Spectra
Earthquakes and Structures	Earthquakes Struct.
Earth's Future	Earth's Future
Earth-Science Reviews	Earth Sci. Rev.
East African Agricultural and Forestry Journal	East Afr. Agric. For. J.
East African Medical Journal	East Afr. Med. J.
East Asian Journal on Applied Mathematics	East Asian J. Appl. Math.
"East Asian Science, Technology and Society: An International Journal"	East Asian Sci. Technol. Soc.: Int. J.
Echo Research and Practice	Echo Res. Pract.
Ecletica Quimica	Ecletica Quim.
Eclogae Geologicae Helvetiae	Eclogae Geol. Helv.
Eco-Environment & Health	Eco-Environ. Health
Ecohydrology & Hydrobiology	Ecohydrol. Hydrobiol.
Ecological Applications	Ecol. Appl.
Ecological Chemistry and Engineering	Ecol. Chem. Eng.
Ecological Chemistry and Engineering A	Ecol. Chem. Eng. A
Ecological Chemistry and Engineering S	Ecol. Chem. Eng. S
Ecological Complexity	Ecol. Complexity
Ecological Conservation	Ecol. Conserv.
Ecological Economics	Ecol. Econ.
Ecological Engineering	Ecol. Eng.
Ecological Engineering: X	Ecol. Eng.: X
Ecological Entomology	Ecol. Entomol.
Ecological Genetics and Genomics	Ecol. Genet. Genomics
Ecological Indicators	Ecol. Indic.
Ecological Informatics	Ecol. Inf.
Ecological Management and Restoration	Ecol. Manage. Restor.
Ecological Modelling	Ecol. Modell.
Ecological Monographs	Ecol. Monogr.
Ecological Processes	Ecol. Processes
Ecological Psychology	Ecol. Psychol.
Ecological Research	Ecol. Res.
Ecological Solutions and Evidence	Ecol. Solutions Evidence
Ecological Studies	Ecol. Stud.
Ecology and Evolution	Ecol. Evol.
Ecology and Society	Ecol. Soc.
Ecology Letters	Ecol. Lett.
Ecology of Food and Nutrition	Ecol. Food Nutr.
Ecology of Freshwater Fish	Ecol. Freshwater Fish
Econometric Reviews	Econom. Rev.
Econometric Theory	Econom. Theory
Economic Botany	Econ. Bot.
Economic Computation and Economic Cybernetics Studies and Research	Econ. Comput. Econ. Cybern. Stud. Res.
Economic Geology	Econ. Geol.
Economic Geology and the Bulletin of the Society of Economic Geologists	Econ. Geol. Bull. Soc. Econ. Geol.
EcoSal Plus	EcoSal Plus
Ecosystem Health and Sustainability	Ecosyst. Health Sustainability
Ecosystem Health and Sustainability	Ecosyst. Health Sustainability
Ecosystem Services	Ecosyst. Serv.
Ecosystems and People	Ecosyst. People
Ecotoxicology and Environment Safety	Ecotoxicol. Environ. Saf.
ECS Advances	ECS Adv.
ECS Electrochemistry Letters	ECS Electrochem. Lett.
ECS Journal of Solid State Science and Technology	ECS J. Solid State Sci. Technol.
ECS Sensors Plus	ECS Sens. Plus
ECS Solid State Letters	ECS Solid State Lett.
ECS Transactions	ECS Trans.
Edinburgh Journal of Botany	Edinburgh J. Bot.
Educacion Quimica	Educ. Quim.
Education for Chemical Engineers	Educ. Chem. Eng.
Education for Information	Educ. Inf.
Education in Chemistry	Educ. Chem.
Educational Neuroscience	Educ. Neurosci.
EES Catalysis	EES Catal.
EFSA Journal	EFSA J.
Egyptian Journal of Agronomy	Egypt. J. Agron.
Egyptian Journal of Analytical Chemistry	Egypt. J. Anal. Chem.
Egyptian Journal of Aquatic Research	Egypt. J. Aquat. Res.
Egyptian Journal of Basic and Applied Sciences	Egypt. J. Basic Appl. Sci.
Egyptian Journal of Biochemistry and Molecular Biology	Egypt. J. Biochem. Mol. Biol.
Egyptian Journal of Biotechnology	Egypt. J. Biotechnol.
Egyptian Journal of Chemistry	Egypt. J. Chem.
Egyptian Journal of Forensic Sciences	Egypt. J. Forensic Sci.
Egyptian Journal of Geology	Egypt. J. Geol.
Egyptian Journal of Hospital Medicine	Egypt. J. Hosp. Med.
Egyptian Journal of Medical Human Genetics	Egypt. J. Med. Hum. Genet.
Egyptian Journal of Petroleum	Egypt. J. Pet.
Egyptian Journal of Radiology and Nuclear Medicine	Egypt. J. Radiol. Nucl. Med.
Egyptian Journal of Remote Sensing and Space Science	Egypt. J. Remote Sens. Space. Sci.
Einstein Journal of Biology and Medicine	Einstein J. Biol. Med.
Einstein Quarterly Journal of Biology and Medicine	Einstein Q. J. Biol. Med.
Eiszeitalter und Gegenwart	Eiszeitalter Ggw.
E-Journal of Chemistry	E-J. Chem.
e-Journal of Surface Science and Nanotechnology	e-J. Surf. Sci. Nanotechnol.
Electric Power Components & Systems	Electr. Power Compon. Syst.
Electric Power Systems Research	Electr. Power Syst. Res.
Electrical Engineering in Japan	Electr. Eng. Jpn.
Electro- and Magnetobiology	Electro- Magnetobiol.
Electrochemical and Solid-State Letters	Electrochem. Solid-State Lett.
Electrochemical Energy Reviews	Electrochem. Energy Rev.
Electrochemical Energy Technology	Electrochem. Energy Technol.
Electrochemical Science Advances	Electrochem. Sci. Adv.
Electrochemical Society Interface	Electrochem. Soc. Interface
Electrochemistry Communications	Electrochem. Commun.
Electrochimica Acta	Electrochim. Acta
Electrocomponent Science and Technology	Electrocomponent Sci. Technol.
Electrodeposition and Surface Treatment	Electrodeposition Surf. Treat.
Electromagnetic Biology and Medicine	Electromagn. Biol. Med.
Electron Microscopy Reviews	Electron Microsc. Rev.
Electronic Journal of Biotechnology	Electron. J. Biotechnol.
Electronic Journal of Boundary Elements	Electron. J. Boundary Elem.
Electronic Journal of Combinatorics	Electron. J. Comb.
Electronic Journal of Differential Equations	Electron. J. Differ. Equations
Electronic Journal of Geotechnical Engineering	Electron. J. Geotech. Eng.
Electronic Journal of Information Systems in Developing Countries	Electron. J. Inf. Syst. Dev. Countries
Electronic Journal of Operational Meteorology	Electron. J. Oper. Meteorol.
Electronic Journal of Qualitative Theory of Differential Equations	Electron. J. Qual. Theory Differ. Equations
Electronic Journal of Severe Storms Metereology	Electron. J. Severe Storms Metereol.
Electronic Journal of Theoretical Chemistry	Electron. J. Theor. Chem.
Electronic Materials Letters	Electron. Mater. Lett.
Electronic Notes in Discrete Mathematics	Electron. Notes Discrete Math.
Electronic Notes in Theoretical Computer Science	Electron. Notes Theor. Comput. Sci.
Electronic Structure	Electron. Struct.
Electronic Systems News	Electron. Syst. News
Electronic Technology	Electron. Technol.
Electronic Transactions on Numerical Analysis	Electron. Trans. Numer. Anal.
Electronics and Communications in Japan	Electron. Commun. Jpn.
Electronics and Power	Electron. Power
Electronics Education	Electron. Educ.
Electronics Letters	Electron. Lett.
Elektrotechnik und Maschinenbau	Elektrotech. Maschinenbau
Elektrotechnische Zeitschrift	Elektrotech. Z.
Elementa: Science of the Anthropocene	Elem. Sci. Anth.
Elemente der Mathematik	Elem. Math.
EMBO Journal	EMBO J.
EMBO Molecular Medicine	EMBO Mol. Med.
EMBO Reports	EMBO Rep.
Emergent Materials	Emergent Mater.
Emergent scientist	Emergent Sci.
Emerging Animal Species	Emerging Anim. Species
Emerging Contaminants	Emerging Contam.
Emerging Materials Research	Emerging Mater. Res.
Emerging Microbes & Infections	Emerging Microbes Infect.
Emerging Topics in Life Sciences	Emerging Top. Life Sci.
Emirates Journal of Food and Agriculture	Emir. J. Food Agric.
Emission Control Science and Technology	Emiss. Control Sci. Technol.
EMS Surveys in Mathematical Sciences	EMS Surv. Math. Sci.
Emu - Austral Ornithology	Emu - Austral Ornithol.
Endangered Species Research	Endanger. Species Res.
Endocrine and Metabolic Science	Endocr. Metab. Sci.
Endocrine Disruptors	Endocr. Disruptors
Endocrine Metabolic & Immune Disorders Drug Targets	Endocr. Metab. Immune Disord. Drug Targets
Endocrine Oncology	Endocr. Oncol.
Endocrine Research	Endocr. Res.
Endocrine Reviews	Endocr. Rev.
Endocrinology and Metabolism	Endocrinol. Metab.
Endoscopic Ultrasound	Endosc. Ultrasound
Energetic Materials Frontiers	Energetic Mater. Front.
Energie Wasser Praxis	Energ. Wasser Prax.
Energy & Environment	Energy Environ.
Energy & Environmental Materials	Energy Environ. Mater.
Energy & Environmental Science	Energy Environ. Sci.
Energy Advances	Energy Adv.
Energy and AI	Energy AI
Energy and Buildings	Energy Build.
Energy and Built Environment	Energy Built Environ.
Energy and Climate Change	Energy Clim. Change
Energy and Fuels	Energy Fuels
Energy and Policy Research	Energy Policy Res.
Energy Conversion and Management	Energy Convers. Manage.
Energy Conversion and Management: X	Energy Convers. Manage.: X
Energy Economics	Energy Econ.
Energy Efficiency	Energy Effic.
Energy Engineering	Energy Eng.
Energy Exploration & Exploitation	Energy Explor. Exploit.
Energy for Sustainable Development	Energy Sustainable Dev.
Energy Geoscience	Energy Geosci.
Energy Harvesting Systems	Energy Harvesting Syst.
Energy Material Advances	Energy Mater. Adv.
Energy Materials	Energy Mater.
Energy Policy	Energy Policy
Energy Procedia	Energy Procedia
Energy Reports	Energy Rep.
Energy Research & Social Science	Energy Res. Social Sci.
Energy Science & Engineering	Energy Sci. Eng.
"Energy Sources, Part A: Recovery, Utilization, and Environmental Effects"	Energy Sources Part A
"Energy Sources, Part B: Economics, Planning and Policy"	Energy Sources Part B
Energy Storage	Energy Storage
Energy Storage Materials	Energy Storage Mater.
Energy Systems	Energy Syst.
Energy Technology	Energy Technol.
"Energy, Sustainability and Society"	Energy Sustainability Soc.
Engineered Casting Solutions	Eng. Cast. Solutions
Engineered Regeneration	Eng. Regener.
Engineering & Technology	Eng. Technol.
Engineering Analysis with Boundary Elements	Eng. Anal. Boundary Elem.
Engineering and Mining Journal	Eng. Min. J.
Engineering and Mining Journal Press	Eng. Min. J. Press
Engineering and Process Economics	Eng. Process Econ.
Engineering Applications of Artificial Intelligence	Eng. Appl. Artif. Intell.
Engineering Applications of Computational Fluid Mechanics	Eng. Appl. Comput. Fluid Mech.
Engineering Biology	Eng. Biol.
Engineering Computations	Eng. Comput.
Engineering Construction and Architectural Management	Eng. Constr. Archit. Manage.
